report,risk
"Gas leak detected near pipeline",High
"Minor vibration in pump system",Low
"Explosion risk due to pressure buildup",High
"Routine maintenance completed",Low
"Oil spill observed offshore",High
"Temperature fluctuation in tank",Medium
"Corrosion found in valve section",Medium
"Safety inspection completed successfully",Low
"Fire detected in compressor unit",High
"Pressure slightly above normal",Medium
"Emergency shutdown activated",High
"Valve inspection completed",Low
"Smoke observed in storage facility",High
"Cooling system operating normally",Low
"Pipeline pressure unstable",Medium
